S.No.,State,City,Station Name,Current AQI value
1,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",Insufficient data available in last 24 hours.
2,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",134
3,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",84
4,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",62
5,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",98
6,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",91
7,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",114
8,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",58
9,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",67
10,Andhra Pradesh,,"Kanuru, Vijayawada - APPCB",45
11,Andhra Pradesh,,"Rajiv Gandhi Park, Vijayawada - APPCB",78
12,Andhra Pradesh,,"Rajiv Nagar, Vijayawada - APPCB",61
13,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",147
14,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",156
15,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",208
16,Assam,Guwahati,"IITG, Guwahati - PCBA",Insufficient data available in last 24 hours.
17,Assam,,"LGBI Airport, Guwahati - PCBA",94
18,Assam,,"Pan Bazaar, Guwahati - PCBA",156
19,Assam,,"Railway Colony, Guwahati - PCBA",45
20,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",138
21,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",140
22,Assam,Silchar,"Tarapur, Silchar - PCBA",70
23,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",74
24,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",118
25,Bihar,Arrah,"New DM Office, Arrah - BSPCB",142
26,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",126
27,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",180
28,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",66
29,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",143
30,Bihar,,"Mayaganj, Bhagalpur - BSPCB",128
31,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",112
32,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",108
33,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",133
34,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",Insufficient data available in last 24 hours.
35,Bihar,Gaya,"Collectorate, Gaya - BSPCB",Insufficient data available in last 24 hours.
36,Bihar,,"Kareemganj, Gaya - BSPCB",192
37,Bihar,,"SFTI Kusdihra, Gaya - BSPCB",135
38,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",195
39,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",115
40,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",171
41,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",118
42,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",153
43,Bihar,Munger,"Town Hall, Munger - BSPCB",57
44,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",204
45,Bihar,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",87
46,Bihar,,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",93
47,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",111
48,Bihar,,"Govt. High School Shikarpur, Patna - BSPCB",148
49,Bihar,,"IGSC Planetarium Complex, Patna - BSPCB",204
50,Bihar,,"Muradpur, Patna - BSPCB",225
51,Bihar,,"Rajbansi Nagar, Patna - BSPCB",138
52,Bihar,,"Samanpura, Patna - BSPCB",150
53,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",108
54,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",81
55,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",194
56,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",146
57,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",115
58,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",109
59,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",104
60,Chandigarh,,"Sector-25, Chandigarh - CPCC",243
61,Chandigarh,,"Sector-53, Chandigarh - CPCC",124
