date,PM2.5
2025-01-01,210
2025-01-02,199
2025-01-03,162
2025-01-04,275
2025-01-05,-896
2025-01-06,-999
2025-01-07,-999
2025-01-08,-412
2025-01-09,262
2025-01-10,203
2025-01-11,164
2025-01-12,155
2025-01-13,125
2025-01-14,159
2025-01-15,264
2025-01-16,111
2025-01-17,99.3
2025-01-18,166
2025-01-19,169
2025-01-20,-25.7
2025-01-21,136
2025-01-22,124
2025-01-23,111
2025-01-24,90.8
2025-01-25,71.7
2025-01-26,86.1
2025-01-27,113
2025-01-28,116
2025-01-29,231
2025-01-30,131
2025-01-31,-13.8
2025-02-01,221
2025-02-02,134
2025-02-03,111
2025-02-04,157
2025-02-05,109
2025-02-06,90.5
2025-02-07,68.4
2025-02-08,75.9
2025-02-09,108
2025-02-10,127
2025-02-11,120
2025-02-12,78.3
2025-02-13,13.5
2025-02-14,62.4
2025-02-15,87
2025-02-16,146
2025-02-17,92.1
2025-02-18,81.9
2025-02-19,76.6
2025-02-20,53.5
2025-02-21,83.9
2025-02-22,63.2
2025-02-23,22.2
2025-02-24,84
2025-02-25,87.7
2025-02-26,108
2025-02-27,63
2025-02-28,-78.7
2025-03-01,58.1
2025-03-02,44.5
2025-03-03,60
2025-03-04,49.3
2025-03-05,30.5
2025-03-06,47.1
2025-03-07,91.4
2025-03-08,67.6
2025-03-09,81.9
2025-03-10,88.6
2025-03-11,100
2025-03-12,96
2025-03-13,78.8
2025-03-14,71.8
2025-03-15,26.5
2025-03-16,45.7
2025-03-17,53.9
2025-03-18,59.9
2025-03-19,73
2025-03-20,51.6
2025-03-21,69.2
2025-03-22,61.5
2025-03-23,63.5
2025-03-24,71.4
2025-03-25,89
2025-03-26,81.7
2025-03-27,73.4
2025-03-28,54
2025-03-29,37.8
2025-03-30,41.9
2025-03-31,76.3
2025-04-01,73
2025-04-02,95
2025-04-03,60.5
2025-04-04,65.6
2025-04-05,63.7
2025-04-06,75.1
2025-04-07,87.8
2025-04-08,92.6
2025-04-09,96.3
2025-04-10,67.5
2025-04-11,46.8
2025-04-12,48.6
2025-04-13,52.6
2025-04-14,67
2025-04-15,63.8
2025-04-16,82.1
2025-04-17,68.5
2025-04-18,87.4
2025-04-19,52.5
2025-04-20,53
2025-04-21,69.3
2025-04-22,81.7
2025-04-23,71.2
2025-04-24,90.8
2025-04-25,86.3
2025-04-26,117
2025-04-27,92
2025-04-28,153
2025-04-29,86.3
2025-04-30,86.2
2025-05-01,77.5
2025-05-02,40
2025-05-03,68.7
2025-05-04,81.8
2025-05-05,37.2
2025-05-06,50.2
2025-05-07,52
2025-05-08,70.7
2025-05-09,72.3
2025-05-11,40.9
