Site Location, Population estimate * ,Country,ISO 3 code,Country Region,continent,Latitude,Longitude,Site typology,PM10 µgm-3 *,PM2.5 µgm-3 *,Methodology,Reference author,Reference year,Study year,Season,SEA SALT%,DUST%,TRAFFIC%,INDUSTRY%,BIOM. BURN./RES.%,OTHER (unspecified-human origin)%
Cairo," 91,20,000 ",Egypt,EGY,Northern Africa,AF,30.06,31.25,urban,,51,PCA,Boman56,2012,2010/2011,year,,55.7,8.9,18.0,5.7,11.7
Cairo," 91,20,000 ",Egypt,EGY,Northern Africa,AF,30.06,31.25,urban,,86,CMB,ESMAP report4,2011,1999/2002,year,2.0,7.0,22.0,13.0,30.0,26.0
Cairo," 91,20,000 ",Egypt,EGY,Northern Africa,AF,30.06,31.25,urban,187,,CMB,ESMAP report4,2011,1999/2002,year,2.0,33.0,9.0,11.0,28.0,17.0
Qalabotjha," 16,028 ",South Africa,ZAF,Southern Africa,AF,-27.02,28.62,urban,,113,CMB,ESMAP report4,2011,1997,winter,,11.0,,2.0,63.0,24.0
Qalabotjha," 16,028 ",South Africa,ZAF,Southern Africa,AF,-27.02,28.62,urban,124,,CMB,ESMAP report4,2011,1997,winter,,1.0,,1.0,75.0,23.0
Dhaka," 70,01,000 ",Bangladesh,BGD,Southern Asia,AF,23.71,90.41,residential,,22,PMF,Begum34,2005,2001/2002,year,1.0,10.2,67.0,10.0,11.9,0.0
Rajshahi," 7,75,450 ",Bangladesh,BGD,Southern Asia,AF,24.37,82.60,urban,,22,PMF,Begum34,2005,2001/2002,year,14.0,1.9,33.8,,50.3,0.0
Lahore," 51,43,000 ",Pakistan,PAK,Southern Asia,AF,31.55,74.34,urban,,192,PMF,Lodhi37,2009,2005/2006,year,,18.0,5.0,26.0,,51.0
Karachi," 93,39,000 ",Pakistan,PAK,Southern Asia,AF,24.85,67.03,urban,,79,PMF,Mansha38,2012,2006/2008,year,,,35.1,53.7,,11.2
Lahore," 51,43,000 ",Pakistan,PAK,Southern Asia,AF,31.55,74.34,urban,,190,PMF,Raja41,2010,2005/2006,winter,,,36.0,19.0,14.8,30.2
Colombo," 6,42,163 ",Sri Lanka,LKA,Southern Asia,AF,6.82,79.85,urban,,29,PMF,Seneviratne42,2011,2000/2005,year,4.0,,75.0,,21.0,0.0
Urumqi," 31,10,000 ",China,CHN,Southern China,AF,43.83,87.62,urban,141,,CMB,Bi13,2007,1999/2002,year,,8.0,40.0,28.0,,24.0
Hong Kong," 71,88,000 ",China,HKG,Southern China,AF,22.30,114.17,urban,,56,PMF,Cheng14,2014,2004/2005,year,6.0,,30.0,14.0,23.0,27.0
Qingyuan," 36,98,000 ",China,CHN,Southern China,AF,23.68,113.06,indu-residential,,83,PMF,Huang17,2013,2009/2010,year,,8.1,15.4,26.6,15.4,34.5
Hanzhou," 62,42,000 ",China,CHN,Southern China,AF,30.28,120.16,urban,,108,PMF,Liu21,2014,2004/2005,year,,,27.0,44.7,,28.3
Fushun," 21,38,000 ",China,CHN,Southern China,AF,41.87,123.92,urban,161,,CMB,Ni22,2012,2001/2005,year,,38.0,5.2,35.8,,21.0
Shanghai," 1,43,50,000 ",China,CHN,Southern China,AF,31.23,121.47,urban-coastal,,147,PMF,Wang26,2007,2004,spring,8.9,37.4,27.0,,,26.7
Panzhihua," 12,14,000 ",China,CHN,Southern China,AF,26.58,101.72,industrial,137,,CMB,Xue28,2010,2007,year,,,13.7,45.3,,41.0
Hong Kong," 71,88,000 ",China,HKG,Southern China,AF,22.34,114.11,urban,36,,UNMIX,Yuan30,2006,1998/2002,year,22.0,7.0,26.0,23.0,,22.0
Hong Kong," 71,88,000 ",China,HKG,Southern China,AF,22.34,114.11,urban,36,,PMF,Yuan30,2006,1998/2002,year,14.0,5.0,25.0,10.0,9.0,37.0
Lijian," 12,44,000 ",China,CHN,Southern China,AF,26.85,100.22,urban,,5,PCA,Zhang32,2013,2009,spring,,33.2,25.9,,29.0,11.9
Taipei," 26,19,000 ",Taiwan,TWN,Southern China,AF,25.09,121.56,urban,,25,PCA,Liang20,2013,2009,spring,,,65.0,29.0,,6.0
Taipei," 26,19,000 ",Taiwan,TWN,Southern China,AF,25.09,121.56,urban,,150,PCA,Liang20,2013,2009,spring,,24.0,64.0,,,12.0
Ikoyi," 51,95,000 ",Africa,NGA,Western Africa,AF,6.46,3.60,urban,92,,CMB,Oluyemi124,2001,1989/1991,year,24.4,,57.6,4.5,,13.5
Ikeja," 3,13,000 ",Africa,NGA,Western Africa,AF,6.58,3.33,industrial,176,,CMB,Oluyemi124,2001,1989/1991,year,27.8,,33.6,7.4,,31.2
Yaba," 51,95,000 ",Africa,NGA,Western Africa,AF,6.51,3.38,residential,188,,CMB,Oluyemi124,2001,1989/1991,year,34.2,,39.0,7.8,,19.0
Accra," 16,58,900 ",Africa,GHA,Western Africa,AF,5.55,-0.20,urban,,66,PMF,"Zhou122,123",2013,2006/2007,year,,17.0,22.5,,50.5,10.0
Graz-Don Bosco," 2,65,318 ",Austria,AUT,Western Europe,AF,47.06,15.42,urban,44,,CMB,AQUELLA134,2007,2004,year,1.8,25.0,15.0,,15.5,42.7
Hartberg," 6,634 ",Austria,AUT,Western Europe,AF,47.28,15.97,residential alpine,50,,CMB,AQUELLA134,2007,2004,year,1.0,38.0,4.5,,19.7,36.8
Koeflach," 9,953 ",Austria,AUT,Western Europe,AF,47.06,15.08,residential alpine,57,,CMB,AQUELLA134,2007,2004,year,6.0,24.3,5.7,,25.7,38.3
Linz," 1,91,107 ",Austria,AUT,Western Europe,AF,48.31,14.29,industrial,21,,APCS,"Astel136,137",2010,2006,year,,,61.7,29.0,,9.3
