Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,49.91,110.22,9.57,26.54,16.94,21.74,7.39,0.67,15.29,4.88,8.65,3.32,NA,NA,NA,24.14,62.17,0.42,194.57,0.00,0.00,123.58,715.17,-0.02
2025-01-02 00:00:00,41.37,115.64,11.38,38.90,24.83,31.86,10.79,0.72,45.68,12.58,7.92,8.56,NA,NA,NA,23.40,54.12,0.46,100.53,0.00,0.00,131.00,714.92,-0.02
2025-01-03 00:00:00,33.90,98.83,14.39,60.98,38.48,49.95,16.92,0.72,20.60,3.50,6.20,2.38,NA,NA,NA,23.82,44.45,0.30,162.63,0.00,0.00,135.23,714.95,-0.02
2025-01-04 00:00:00,32.31,92.53,13.01,52.14,33.29,42.71,14.62,0.56,16.85,10.02,9.29,6.82,NA,NA,NA,23.90,47.42,0.32,204.54,0.00,0.00,152.88,713.65,-0.02
2025-01-05 00:00:00,42.96,98.22,9.69,24.39,15.57,19.98,6.81,0.71,193.66,20.10,14.16,20.00,NA,NA,NA,23.12,60.41,0.30,277.44,0.00,0.00,151.51,713.86,-0.02
2025-01-06 00:00:00,42.79,106.08,9.53,25.77,16.46,21.11,7.17,0.73,54.32,14.84,26.31,10.09,NA,NA,NA,23.04,61.75,0.30,277.01,0.00,0.00,143.76,713.48,-0.02
2025-01-07 00:00:00,48.80,118.71,9.72,26.31,16.79,21.55,7.44,0.57,15.70,5.10,9.05,3.47,NA,NA,NA,23.37,59.09,0.56,215.24,0.00,0.00,139.82,713.55,-0.02
2025-01-08 00:00:00,50.14,115.06,14.57,56.71,35.75,46.45,15.89,0.59,15.49,5.05,8.95,3.43,NA,NA,NA,23.55,52.29,0.30,220.86,0.00,0.00,143.87,713.78,-0.02
2025-01-09 00:00:00,47.27,117.02,12.13,44.81,28.60,36.70,12.56,0.60,15.69,5.12,9.06,3.48,NA,NA,NA,22.68,54.56,0.33,261.35,0.00,0.00,140.14,714.57,-0.02
2025-01-10 00:00:00,52.93,124.15,10.12,29.44,18.78,24.11,8.18,0.64,15.56,5.06,8.98,3.44,NA,NA,NA,23.13,60.14,0.31,264.20,0.00,0.00,130.48,715.38,-0.02
2025-01-11 00:00:00,37.61,91.99,6.17,22.81,14.56,18.68,6.36,0.59,15.32,4.99,8.84,3.39,NA,NA,NA,23.66,63.28,0.35,285.20,0.00,0.00,127.19,715.10,-0.02
2025-01-12 00:00:00,39.94,95.25,2.97,22.71,14.49,18.59,6.33,0.55,15.63,5.08,9.00,3.46,NA,NA,NA,23.50,65.06,0.46,273.73,0.00,0.00,114.42,714.71,-0.02
2025-01-13 00:00:00,42.03,99.43,3.16,24.13,15.41,19.77,6.82,0.66,16.01,5.21,9.24,3.55,NA,NA,NA,23.51,64.47,0.30,274.43,0.00,0.00,126.15,714.12,-0.02
2025-01-14 00:00:00,36.84,83.16,2.83,21.59,13.79,17.69,6.06,0.53,15.69,5.11,9.06,3.47,NA,NA,NA,23.94,62.97,0.66,272.90,0.00,0.00,137.20,714.86,-0.02
2025-01-15 00:00:00,27.93,64.49,3.28,25.02,15.96,20.48,6.99,0.54,15.77,5.14,9.10,3.49,NA,NA,NA,23.78,64.46,0.77,278.51,0.00,0.00,120.16,715.53,-0.02
2025-01-16 00:00:00,38.69,89.20,2.37,18.07,11.54,14.81,5.02,0.60,16.17,5.27,9.34,3.58,NA,NA,NA,23.94,64.90,0.52,264.09,0.00,0.00,122.84,715.21,-0.02
2025-01-17 00:00:00,53.54,126.67,4.12,31.52,20.13,25.82,8.78,0.62,16.15,5.26,9.33,3.58,NA,NA,NA,23.81,61.75,0.70,212.32,0.00,0.00,129.60,714.56,-0.02
2025-01-18 00:00:00,62.87,135.59,4.07,31.10,19.85,25.47,8.70,0.65,15.93,5.19,9.20,3.53,NA,NA,NA,23.35,63.24,0.52,271.64,0.00,0.00,131.08,714.34,-0.02
2025-01-19 00:00:00,57.67,NA,4.48,34.20,21.83,28.01,9.57,0.82,15.42,5.02,8.91,3.42,NA,NA,NA,23.82,57.24,0.38,216.28,0.00,0.00,142.17,714.42,-0.02
2025-01-20 00:00:00,42.10,113.57,12.84,77.85,62.59,69.20,27.26,0.62,15.33,4.99,8.84,3.40,NA,NA,NA,24.83,44.54,0.66,99.38,0.00,0.00,159.53,713.55,-0.02
2025-01-21 00:00:00,38.69,106.09,6.28,48.03,30.65,39.34,13.25,0.70,15.46,5.06,8.97,3.44,NA,NA,NA,24.33,43.46,0.41,237.07,0.00,0.00,161.70,712.87,-0.02
2025-01-22 00:00:00,40.31,107.81,4.94,37.77,24.11,30.94,10.55,0.68,15.78,5.13,9.09,3.49,NA,NA,NA,24.37,49.39,0.60,280.06,0.00,0.00,154.69,712.73,-0.02
2025-01-23 00:00:00,36.99,91.55,3.10,23.71,15.13,19.43,6.60,0.57,16.20,5.27,9.35,3.59,NA,NA,NA,24.40,60.73,0.95,284.31,0.00,0.00,151.48,712.75,-0.02
2025-01-24 00:00:00,28.39,82.08,3.53,26.96,17.20,22.08,7.49,0.47,16.43,5.35,9.48,3.64,NA,NA,NA,24.55,59.16,0.94,291.96,0.00,0.00,157.27,712.64,-0.02
2025-01-25 00:00:00,21.42,71.08,2.60,19.87,12.68,16.27,5.54,0.53,16.39,5.33,9.44,3.62,NA,NA,NA,24.59,54.80,0.56,282.95,0.00,0.00,152.04,713.25,-0.02
2025-01-26 00:00:00,27.36,83.80,3.87,29.59,18.88,24.24,8.37,0.59,16.12,5.24,9.29,3.57,NA,NA,NA,24.60,50.38,0.76,215.89,0.00,0.00,149.92,713.10,-0.02
2025-01-27 00:00:00,34.10,101.70,3.76,28.73,18.34,23.54,8.06,0.58,16.27,5.29,9.37,3.60,NA,NA,NA,24.75,49.80,0.78,134.11,0.00,0.00,152.16,712.32,-0.02
2025-01-28 00:00:00,38.57,108.62,3.92,29.93,19.10,24.52,8.34,0.51,16.25,5.29,9.38,3.59,NA,NA,NA,24.71,53.31,0.68,278.27,0.00,0.00,144.35,712.39,-0.02
2025-01-29 00:00:00,34.43,91.91,2.91,22.29,14.23,18.26,6.23,0.51,15.76,5.15,9.12,3.49,NA,NA,NA,24.64,55.74,0.82,287.44,0.00,0.00,142.25,713.65,-0.02
2025-01-30 00:00:00,39.69,103.18,3.01,23.02,14.70,18.86,6.45,0.55,16.20,5.29,9.36,3.59,NA,NA,NA,24.67,60.23,0.75,290.17,0.00,0.00,148.89,712.67,-0.02
2025-01-31 00:00:00,32.43,93.73,3.53,26.98,17.22,22.11,7.53,0.51,16.34,5.32,9.44,3.62,NA,NA,NA,25.52,54.32,0.72,281.99,0.00,0.00,149.60,712.13,-0.02
2025-02-01 00:00:00,25.65,80.58,2.91,22.24,13.87,18.22,6.18,0.52,14.99,4.88,8.65,3.32,NA,NA,NA,25.69,52.45,0.75,286.20,0.00,0.00,134.87,712.46,-0.02
2025-02-02 00:00:00,26.02,75.37,3.01,23.07,14.73,18.90,6.43,0.49,14.84,4.83,8.58,3.29,NA,NA,NA,23.50,59.83,0.54,312.07,0.00,0.00,76.37,713.02,-0.02
2025-02-03 00:00:00,19.42,72.40,2.36,18.03,11.28,14.77,5.07,0.50,15.66,5.08,8.99,3.45,NA,NA,NA,27.69,42.16,1.29,247.12,0.00,0.00,222.96,714.98,-0.02
2025-02-04 00:00:00,24.62,78.49,3.56,27.16,17.33,22.24,7.43,0.45,15.77,5.12,9.08,3.48,NA,NA,NA,26.15,46.45,0.86,290.46,0.00,0.00,157.76,714.20,-0.02
2025-02-05 00:00:00,24.61,78.20,3.56,27.22,17.37,22.29,7.59,0.39,18.38,5.33,9.46,7.24,NA,NA,NA,26.63,44.62,0.92,289.15,0.00,0.00,154.35,713.26,-0.02
2025-02-06 00:00:00,24.48,74.80,4.01,30.62,19.54,25.08,8.51,0.41,50.93,14.42,25.57,9.81,NA,NA,NA,26.24,47.18,1.04,280.49,0.00,0.00,147.35,713.44,-0.02
2025-02-07 00:00:00,37.71,97.20,4.01,30.60,19.53,25.06,8.45,0.58,14.95,7.46,13.22,5.07,NA,NA,NA,25.81,51.57,0.71,255.04,0.00,0.00,123.14,714.32,-0.02
2025-02-08 00:00:00,38.78,114.52,4.98,38.04,24.28,31.16,10.56,0.58,15.05,4.90,8.69,3.33,NA,NA,NA,26.01,50.35,0.71,268.16,0.00,0.00,131.18,714.36,-0.02
2025-02-09 00:00:00,50.89,124.49,7.17,54.73,34.05,44.83,15.26,0.62,14.71,4.78,8.46,3.25,NA,NA,NA,24.12,57.52,0.49,298.88,0.00,0.00,65.70,713.98,-0.02
2025-02-10 00:00:00,32.56,102.49,3.34,25.62,15.98,20.98,7.13,0.39,14.34,7.10,12.59,4.84,NA,NA,NA,27.55,45.07,1.05,248.80,0.00,0.00,146.37,716.72,-0.02
2025-02-11 00:00:00,39.81,110.78,3.04,23.26,14.86,19.06,6.46,0.63,14.05,4.57,8.11,3.12,NA,NA,NA,26.13,53.22,0.81,276.51,0.00,0.00,144.00,714.14,-0.02
2025-02-12 00:00:00,36.20,110.59,3.20,24.43,15.60,20.01,6.78,0.66,14.97,4.88,8.65,3.32,NA,NA,NA,26.53,48.62,0.76,237.56,0.00,0.00,149.46,714.02,-0.02
2025-02-13 00:00:00,37.32,118.65,4.94,37.72,24.08,30.90,10.55,0.64,15.24,4.95,8.77,3.37,NA,NA,NA,26.07,46.17,0.92,166.05,0.00,0.00,140.78,713.59,-0.02
2025-02-14 00:00:00,37.38,125.67,6.80,51.91,32.76,42.53,14.61,0.62,14.16,4.61,8.17,3.13,NA,NA,NA,25.95,42.33,1.10,153.27,0.00,0.00,163.26,713.59,-0.02
2025-02-15 00:00:00,39.88,126.28,5.74,43.83,27.66,35.91,12.28,0.63,14.83,4.81,8.52,3.27,NA,NA,NA,25.94,40.87,1.04,83.25,0.00,0.00,166.35,712.94,-0.02
2025-02-16 00:00:00,50.45,163.35,5.67,43.30,27.05,35.47,12.10,0.64,15.09,4.89,8.68,3.33,NA,NA,NA,24.54,44.69,0.66,264.15,0.00,0.00,157.58,713.08,-0.02
2025-02-17 00:00:00,28.00,99.42,4.65,35.58,21.84,29.15,9.98,0.62,15.38,4.97,8.83,3.39,NA,NA,NA,28.37,39.33,1.13,213.61,0.00,0.00,205.15,715.56,-0.02
2025-02-18 00:00:00,31.50,95.15,4.73,36.17,23.09,29.63,10.01,0.53,14.33,4.67,8.27,3.18,NA,NA,NA,26.20,52.89,0.86,260.42,0.00,0.00,208.21,714.39,-0.02
2025-02-19 00:00:00,29.06,95.92,3.75,28.60,17.90,23.43,7.98,0.48,15.02,4.86,8.61,3.31,NA,NA,NA,29.04,42.35,1.06,208.71,0.00,0.00,213.73,713.67,-0.02
2025-02-20 00:00:00,37.34,112.92,3.84,29.36,18.74,24.05,8.14,0.61,14.76,4.81,8.52,3.27,NA,NA,NA,26.89,54.67,0.89,256.64,0.00,0.00,129.58,713.62,-0.02
2025-02-21 00:00:00,31.74,95.22,5.53,29.96,19.12,24.54,8.30,0.67,15.44,5.01,8.88,3.41,NA,NA,NA,26.43,56.19,0.78,261.52,0.00,0.00,114.22,714.70,-0.02
2025-02-22 00:00:00,34.82,104.96,4.31,32.95,21.03,26.98,9.09,0.63,14.74,4.86,8.61,3.31,NA,NA,NA,26.27,51.75,1.03,124.39,0.00,0.00,140.65,714.84,-0.03
