Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,28.49,89.43,5.25,10.11,15.54,17.22,12.45,0.53,27.19,NA,2.29,NA,NA,NA,NA,26.18,60.65,1.07,50.98,NA,0.00,1.90,NA,NA
2025-01-02 00:00:00,27.44,87.45,5.73,10.72,16.56,16.89,11.91,0.75,34.47,NA,9.22,NA,NA,NA,NA,22.60,67.44,1.02,176.80,NA,0.00,229.46,NA,NA
2025-01-03 00:00:00,23.12,78.27,7.08,12.60,19.78,15.59,10.74,0.24,29.71,NA,3.05,NA,NA,NA,NA,26.33,42.89,1.05,146.84,NA,0.00,189.43,NA,NA
2025-01-04 00:00:00,24.72,82.22,5.56,10.92,16.44,13.04,12.18,0.64,21.96,NA,6.42,NA,NA,NA,NA,21.52,62.22,0.98,183.20,NA,0.00,109.29,NA,NA
2025-01-05 00:00:00,26.94,88.17,3.72,8.86,12.67,9.91,13.19,0.55,21.93,NA,3.77,NA,NA,NA,NA,22.64,65.78,1.10,174.04,NA,0.00,151.15,NA,NA
2025-01-06 00:00:00,23.39,78.67,3.88,9.68,13.57,9.99,12.36,0.61,34.29,NA,2.66,NA,NA,NA,NA,22.99,66.84,0.90,177.12,NA,0.00,142.47,NA,NA
2025-01-07 00:00:00,19.77,68.63,4.04,10.46,14.37,10.16,11.46,0.64,22.77,NA,2.63,NA,NA,NA,NA,17.97,85.67,0.61,226.98,NA,0.00,42.15,NA,NA
2025-01-08 00:00:00,23.85,79.95,6.45,7.51,13.96,14.91,8.05,0.51,35.45,NA,2.00,NA,NA,NA,NA,25.98,47.55,1.13,64.66,NA,0.00,171.61,NA,NA
2025-01-09 00:00:00,24.52,82.58,6.44,7.52,13.96,15.26,8.28,0.67,36.30,NA,2.06,NA,NA,NA,NA,19.43,66.19,1.02,165.16,NA,0.00,53.77,NA,NA
2025-01-10 00:00:00,21.49,78.08,5.76,8.23,14.03,16.03,9.39,0.57,41.33,NA,2.49,NA,NA,NA,NA,22.99,64.78,1.58,143.23,NA,0.00,132.37,NA,NA
2025-01-11 00:00:00,29.13,84.08,5.41,11.43,16.61,19.81,15.24,0.57,49.82,NA,2.77,NA,NA,NA,NA,23.82,64.71,2.20,136.68,NA,0.00,0.00,NA,NA
2025-01-12 00:00:00,28.68,86.61,5.88,11.08,17.03,17.54,13.42,0.49,31.14,NA,3.03,NA,NA,NA,NA,23.59,72.24,1.92,147.95,NA,0.00,154.82,NA,NA
2025-01-13 00:00:00,30.76,91.59,6.42,10.22,16.62,13.21,9.88,0.24,49.77,NA,1.60,NA,NA,NA,NA,25.95,67.47,1.54,137.13,NA,0.00,260.43,NA,NA
2025-01-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-16 00:00:00,20.58,70.42,4.59,9.21,13.72,17.87,9.52,0.24,33.23,NA,0.79,NA,NA,NA,NA,26.98,61.89,1.35,123.28,NA,0.00,75.08,NA,NA
2025-01-17 00:00:00,21.78,72.81,4.97,10.46,15.40,20.04,9.45,0.55,35.76,NA,2.13,NA,NA,NA,NA,24.61,65.26,1.13,109.11,NA,0.00,123.73,NA,NA
2025-01-18 00:00:00,23.55,69.65,5.69,11.04,16.77,17.69,10.37,0.59,30.01,NA,2.54,NA,NA,NA,NA,22.44,74.36,1.13,146.31,NA,0.00,171.22,NA,NA
2025-01-19 00:00:00,24.08,59.75,6.29,10.26,16.43,11.58,11.67,1.35,15.98,NA,NA,NA,NA,NA,NA,16.38,87.86,0.54,259.82,NA,0.00,0.00,NA,NA
2025-01-20 00:00:00,25.21,68.95,7.12,5.45,12.54,14.52,8.26,0.61,30.69,NA,3.37,NA,NA,NA,NA,27.89,42.28,1.08,105.98,NA,0.00,218.22,NA,NA
2025-01-21 00:00:00,25.51,71.47,7.35,4.12,11.45,15.43,7.29,1.16,34.80,NA,3.45,NA,NA,NA,NA,17.65,74.37,0.60,213.37,NA,0.00,100.12,NA,NA
2025-01-22 00:00:00,25.49,71.24,7.32,4.13,11.52,15.37,7.22,0.24,34.69,NA,3.48,NA,NA,NA,NA,26.43,52.57,1.82,135.87,NA,0.00,0.00,NA,NA
2025-01-23 00:00:00,26.50,75.41,6.41,5.84,12.27,15.99,8.17,0.55,42.09,NA,3.18,NA,NA,NA,NA,25.50,65.34,1.60,159.06,NA,0.00,150.24,NA,NA
2025-01-24 00:00:00,28.34,81.28,5.27,8.10,13.43,16.86,9.40,0.55,52.08,NA,2.82,NA,NA,NA,NA,24.97,66.84,1.44,173.37,NA,0.00,221.63,NA,NA
2025-01-25 00:00:00,28.21,80.88,5.25,8.10,13.35,16.85,9.40,0.64,36.45,NA,2.70,NA,NA,NA,NA,30.57,39.17,1.11,136.56,NA,0.00,160.64,NA,NA
2025-01-26 00:00:00,28.45,81.65,5.30,8.13,13.45,16.87,9.42,0.58,10.57,NA,2.98,NA,NA,NA,NA,25.00,58.81,0.93,158.48,NA,0.00,148.05,NA,NA
2025-01-27 00:00:00,29.70,83.46,5.77,8.95,14.60,16.68,10.50,0.62,18.70,NA,3.17,NA,NA,NA,NA,24.64,58.90,0.77,149.39,NA,0.00,217.22,NA,NA
2025-01-28 00:00:00,33.83,89.54,7.10,11.60,18.76,15.93,4.53,0.24,22.79,NA,1.90,NA,NA,NA,NA,25.04,61.86,1.30,219.85,NA,0.00,294.29,NA,NA
2025-01-29 00:00:00,33.98,90.97,7.17,11.60,18.98,15.98,11.68,0.24,16.81,NA,0.71,NA,NA,NA,NA,32.22,44.06,1.49,137.50,NA,0.00,380.01,NA,NA
2025-01-30 00:00:00,34.14,90.46,7.16,11.65,18.77,15.85,10.61,0.24,34.59,NA,0.97,NA,NA,NA,NA,29.82,53.56,1.46,146.12,NA,0.00,225.72,NA,NA
2025-01-31 00:00:00,34.04,90.18,7.14,11.71,18.74,15.87,11.28,0.37,23.64,NA,1.44,NA,NA,NA,NA,26.78,60.57,1.25,168.34,NA,0.00,62.82,NA,NA
2025-02-01 00:00:00,33.92,89.82,7.11,11.72,18.78,15.82,11.24,0.58,19.39,NA,2.13,NA,NA,NA,NA,28.14,55.09,1.10,175.86,NA,0.00,148.90,NA,NA
2025-02-02 00:00:00,33.74,89.32,7.09,11.75,18.87,15.82,11.18,0.51,13.53,NA,2.07,NA,NA,NA,NA,25.40,60.22,1.19,187.73,NA,0.00,164.69,NA,NA
2025-02-03 00:00:00,33.89,89.22,7.10,11.71,18.84,15.94,11.27,0.57,15.97,NA,1.69,NA,NA,NA,NA,25.38,59.39,0.99,201.24,NA,0.00,205.81,NA,NA
2025-02-04 00:00:00,28.52,76.55,20.92,15.83,11.13,18.68,18.03,0.64,35.16,NA,0.96,NA,NA,NA,NA,33.21,39.35,1.61,139.70,NA,0.00,230.94,NA,NA
2025-02-05 00:00:00,31.25,84.70,14.55,15.18,17.68,16.93,17.01,0.48,26.72,NA,1.98,NA,NA,NA,NA,29.19,49.00,1.21,168.61,NA,0.00,150.95,NA,NA
2025-02-06 00:00:00,27.14,82.33,9.36,12.55,22.59,15.12,10.96,0.47,27.07,NA,2.41,NA,NA,NA,NA,29.27,49.98,1.50,157.84,NA,0.00,135.81,NA,NA
2025-02-07 00:00:00,25.07,80.76,8.30,12.66,21.53,16.83,8.34,0.67,32.92,NA,2.21,NA,NA,NA,NA,28.04,57.51,1.08,181.67,NA,0.00,137.21,NA,NA
2025-02-08 00:00:00,28.35,90.53,6.54,14.29,20.81,17.18,10.15,0.78,16.68,NA,2.08,NA,NA,NA,NA,26.05,63.85,0.66,206.41,NA,0.00,159.48,NA,NA
2025-02-09 00:00:00,31.95,97.51,7.19,11.41,18.58,15.23,13.71,0.77,25.49,NA,2.88,NA,NA,NA,NA,28.60,55.50,1.41,154.12,NA,0.00,0.00,NA,NA
2025-02-10 00:00:00,27.18,88.89,6.97,11.40,18.40,14.25,11.40,0.51,25.08,NA,3.04,NA,NA,NA,NA,28.25,59.54,1.19,175.84,NA,0.00,147.39,NA,NA
2025-02-11 00:00:00,21.32,76.99,7.23,12.46,19.68,14.18,10.00,0.53,27.77,NA,2.84,NA,NA,NA,NA,28.77,57.64,1.11,180.88,NA,0.00,148.57,NA,NA
2025-02-12 00:00:00,26.99,85.41,7.68,13.53,21.22,15.82,11.41,0.57,7.05,NA,2.44,NA,NA,NA,NA,23.97,68.70,0.78,226.32,NA,0.00,61.32,NA,NA
2025-02-13 00:00:00,26.98,85.30,7.68,13.51,21.17,15.81,11.41,0.24,37.88,NA,1.59,NA,NA,NA,NA,31.39,43.96,1.13,245.45,NA,0.00,252.34,NA,NA
2025-02-14 00:00:00,21.79,74.47,6.37,11.06,17.43,16.96,12.84,1.03,38.61,NA,5.37,NA,NA,NA,NA,26.64,50.06,0.93,196.74,NA,0.00,164.88,NA,NA
2025-02-15 00:00:00,21.14,74.69,6.56,10.96,17.52,16.27,12.27,0.87,36.98,NA,5.53,NA,NA,NA,NA,26.20,49.37,0.77,194.81,NA,0.00,167.46,NA,NA
2025-02-16 00:00:00,26.55,87.49,6.87,11.38,18.37,16.37,9.66,0.61,41.00,NA,5.50,NA,NA,NA,NA,27.35,47.67,0.73,168.76,NA,0.00,163.06,NA,NA
2025-02-17 00:00:00,25.10,80.44,6.13,11.09,17.17,17.06,15.48,0.57,39.52,NA,2.64,NA,NA,NA,NA,28.36,49.56,0.94,167.71,NA,0.00,159.87,NA,NA
2025-02-18 00:00:00,22.51,71.54,6.52,12.55,18.99,15.42,6.95,0.44,59.03,NA,2.23,NA,NA,NA,NA,29.16,57.11,0.94,204.98,NA,0.00,219.91,NA,NA
