Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,38.97,126.53,3.58,7.41,11.01,9.24,8.34,0.52,34.39,0.94,1.75,0.28,NA,0.61,0.42,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,34.60,128.27,5.03,11.26,16.30,12.68,30.94,0.67,13.56,1.23,3.45,0.43,NA,0.91,0.62,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,34.56,139.64,5.02,11.25,16.23,12.62,9.97,0.67,0.75,1.22,3.45,0.43,NA,0.91,0.62,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,34.73,168.80,6.28,8.79,15.10,18.20,6.20,0.55,32.47,0.37,1.91,1.44,NA,1.17,0.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,34.59,130.32,6.31,8.70,15.05,18.49,6.25,0.54,46.11,0.36,1.87,1.46,NA,1.17,0.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,34.84,136.30,6.34,8.64,15.01,18.45,6.23,0.55,16.21,0.36,1.87,1.47,NA,1.16,0.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,42.08,130.16,4.43,8.28,12.76,16.05,7.53,0.59,29.62,0.45,2.02,1.06,NA,1.01,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,48.88,133.30,2.74,7.94,10.66,13.88,8.74,0.63,28.00,0.52,2.14,0.71,NA,0.87,0.61,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,48.84,142.82,2.73,7.95,10.72,13.76,8.72,0.63,32.46,0.52,2.15,0.71,NA,0.87,0.61,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-11 00:00:00,48.71,121.09,2.73,7.88,10.80,13.90,8.71,0.63,30.70,0.52,2.16,0.72,NA,0.86,0.61,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-12 00:00:00,48.60,120.99,2.72,7.94,10.65,13.86,8.64,0.62,34.86,0.51,2.14,0.71,NA,0.87,0.61,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-13 00:00:00,39.04,121.03,3.93,8.84,12.74,12.21,9.75,0.56,32.52,0.67,1.96,0.92,NA,0.64,0.85,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-14 00:00:00,34.30,111.92,4.44,9.24,13.73,11.50,10.28,0.53,43.08,0.74,1.89,1.02,NA,0.53,0.96,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-15 00:00:00,34.64,100.36,4.49,9.27,13.78,11.51,10.26,0.53,42.25,0.74,1.90,1.02,NA,0.53,0.96,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-16 00:00:00,34.55,109.89,4.47,9.26,13.73,11.44,10.28,0.53,42.24,0.74,1.89,1.02,NA,0.53,0.95,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-17 00:00:00,35.56,129.83,5.66,9.75,15.42,13.17,11.72,0.48,28.84,0.83,2.08,1.36,NA,0.67,1.09,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-18 00:00:00,30.84,140.20,6.08,9.71,15.78,14.30,11.32,0.50,33.38,1.21,2.11,1.79,NA,0.92,1.92,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-19 00:00:00,28.79,145.89,5.21,8.84,14.05,12.02,10.74,0.52,37.24,1.18,2.06,1.52,NA,0.90,2.01,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-20 00:00:00,33.00,123.83,4.94,7.75,12.65,7.81,12.79,0.43,30.37,0.76,2.25,0.98,NA,0.75,1.24,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-21 00:00:00,30.63,130.37,5.76,8.01,13.76,16.74,9.65,0.55,17.49,1.18,1.64,0.73,NA,0.81,1.45,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-22 00:00:00,32.46,128.43,7.14,9.36,16.48,20.57,7.98,0.77,25.43,1.21,1.14,0.68,NA,0.74,1.45,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-23 00:00:00,35.69,129.05,7.25,10.39,17.68,15.40,9.18,0.82,31.87,0.82,1.40,0.85,NA,0.65,1.21,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-24 00:00:00,38.24,183.93,4.32,12.35,16.81,12.35,8.64,0.70,28.10,0.55,2.54,0.73,NA,0.72,0.86,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-25 00:00:00,38.81,111.49,4.42,12.34,16.80,12.53,8.80,0.72,14.69,0.56,2.53,0.73,NA,0.72,0.87,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-26 00:00:00,38.91,118.37,4.41,12.35,16.80,12.50,8.76,0.72,22.51,0.56,2.51,0.73,NA,0.72,0.87,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-27 00:00:00,37.75,118.32,5.59,12.15,17.78,13.49,9.52,0.64,22.06,0.71,2.99,0.82,NA,0.86,0.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-28 00:00:00,36.65,124.92,7.15,11.84,19.13,14.78,10.57,0.53,18.21,0.90,3.58,0.94,NA,1.01,0.67,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-29 00:00:00,36.26,124.94,7.09,11.91,18.97,14.71,10.47,0.53,19.42,0.88,3.54,0.93,NA,1.02,0.67,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-31 00:00:00,43.17,119.93,7.06,11.82,19.07,14.74,10.55,0.53,37.87,0.90,3.53,0.93,NA,1.02,0.67,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-01 00:00:00,42.45,128.84,7.25,11.94,18.86,14.75,10.53,0.53,28.39,0.89,3.53,0.94,NA,1.02,0.67,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-04 00:00:00,42.60,224.50,7.13,11.82,18.82,14.67,10.53,0.53,26.88,0.89,3.48,0.94,NA,1.01,0.66,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-05 00:00:00,43.50,114.66,6.86,11.56,18.48,14.31,11.10,0.53,21.31,0.89,3.52,0.93,NA,1.02,0.67,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-06 00:00:00,47.87,129.26,5.08,9.40,15.59,11.17,14.38,0.52,30.82,0.88,3.54,0.94,NA,1.01,0.66,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-07 00:00:00,52.38,128.88,6.23,12.08,18.89,13.92,15.37,0.69,26.75,0.92,3.26,0.99,NA,0.90,0.76,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-08 00:00:00,52.84,137.99,6.48,13.37,19.80,16.02,14.49,0.76,20.28,0.82,3.15,0.95,NA,0.79,0.95,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-09 00:00:00,49.91,136.61,6.52,11.17,17.63,14.05,10.84,0.74,44.90,0.68,3.44,0.84,NA,0.83,1.03,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-10 00:00:00,50.86,127.51,6.89,9.95,16.90,11.76,9.57,0.86,35.98,0.84,3.23,1.00,NA,0.76,0.97,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-11 00:00:00,44.39,130.34,7.03,11.34,18.44,11.02,10.23,0.85,32.21,1.07,2.97,1.24,NA,0.68,0.89,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-12 00:00:00,40.53,127.76,8.30,13.10,21.35,14.51,10.33,0.74,29.44,0.91,3.19,1.06,NA,0.85,0.76,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-13 00:00:00,42.56,134.35,7.68,11.52,19.17,16.60,10.86,0.62,36.94,0.75,3.44,0.88,NA,1.02,0.63,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-14 00:00:00,46.37,140.57,7.00,13.24,20.12,16.51,10.21,0.73,40.12,0.64,3.10,1.06,NA,0.93,0.85,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-15 00:00:00,40.51,163.70,5.66,13.00,18.77,18.26,10.43,0.73,33.62,0.69,2.44,0.96,NA,0.74,0.95,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-16 00:00:00,37.06,160.00,5.05,12.01,17.11,17.77,12.13,0.61,45.03,0.92,2.80,0.89,NA,0.74,0.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-17 00:00:00,51.24,132.95,6.51,10.76,16.13,16.66,15.16,0.53,40.15,0.80,3.08,0.94,NA,0.97,0.81,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-18 00:00:00,58.84,125.57,7.70,9.04,14.45,18.42,16.52,0.48,36.13,0.53,2.41,0.77,NA,1.04,0.97,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-19 00:00:00,51.48,132.42,6.62,10.14,15.54,19.06,15.02,0.62,39.15,0.68,2.89,0.85,NA,0.87,1.13,NA,NA,NA,NA,NA,0.00,NA,NA,NA
